claim_id,assertion,source_id,locator,evidence_type,verified_by,status
BS-THRESH-01,"Cardinality-budget robust binary optimization reduces to finitely many threshold-indexed nominal problems, and distinct deviations plus zero suffice.",10.1007/s10107-003-0396-4,"Bertsimas and Sim (2003), Section 3, Theorem 3, journal p. 56; proof pp. 57-58; Algorithm A pp. 58-59.",proves,"Independent Codex source-locator reviewer; primary orchestrator",verified
BS-DUAL-02,"Budgeted uncertainty has the scalar dual and compact robust representation used as the starting point.",10.1007/s10107-003-0396-4,"Bertsimas and Sim (2003), Section 2.1, Theorem 1, journal pp. 53-54; protection problem (5) and dual (6).",proves,"Independent Codex source-locator reviewer; primary orchestrator",verified
ALM-FILTER-01,"Alvarez-Miranda et al. reduce the candidate nominal problems relative to Bertsimas-Sim.",10.1007/s10288-013-0231-6,"Author full text, Section 2, Lemma 1, PDF p. 4; Lemma 2, pp. 6-7; Theorem 1, pp. 10-11.",proves,"Independent Codex source-locator reviewer; primary orchestrator",verified
LK-FILTER-02,"Lee and Kwon further reduce the candidate threshold set.",10.1007/s10288-014-0270-7,"Author manuscript, Section 2, Lemmas 1-3, PDF pp. 2-3; Theorem 1, p. 4.",proves,"Independent Codex source-locator reviewer; primary orchestrator",verified
HRS-DNC-01,"Hansknecht et al. use monotonicity to discard threshold intervals by divide-and-conquer and generalize the conditions beyond shortest paths.",10.4230/OASIcs.ATMOS.2018.5,"Section 3, Theorem 3, pp. 5:6-5:7; Algorithm 1, p. 5:7; paragraph following Algorithm 1.",proves_and_reports,"Independent Codex source-locator reviewer; primary orchestrator",verified
BGK-BOUND-01,"Busing-Gersing-Koster derive strong linear formulations when the threshold variable is restricted to a bounded interval.",10.1007/s12532-022-00232-2,"Author manuscript, Section 3, Lemma 3 and formulation P(Z), PDF pp. 9-10; Proposition 4, p. 10.",proves,"Independent Codex source-locator reviewer; primary orchestrator",verified
BGK-CLIQUE-02,"The bounded formulation is strengthened using conflict-graph clique partitions, supplying the closest clique comparator.",10.1007/s12532-022-00232-2,"Author manuscript, Section 4, Proposition 5, PDF pp. 11-13; bounded substituted clique formulation immediately after Proposition 5, p. 13.",proves,"Independent Codex source-locator reviewer; primary orchestrator",verified
BGK-SCOPE-03,"The source model targets uncertain objective coefficients; its implementation uses Java and Gurobi; DnC+ is a distinct full algorithm.",10.1007/s12532-022-00232-2,"Author manuscript, Section 1, PDF p. 2; Section 6 implementation opening; Section 7.3, pp. 43-46.",reports,"Independent Codex source-locator reviewer; primary orchestrator",verified
BGK-LP-BOTTLENECK-04,"In the closest large-scale bounded-threshold study, LP relaxations consume a material share of runtime and can dominate at scale; the root LP is especially difficult.",10.1007/s12532-022-00232-2,"Published article, Section 8.5, journal pp. 314-317; 33.1% average LP share on solved BnB-CutLP instances, p. 314; 93.17% LP share and 1,062-second root LP at one million items, pp. 315-316; authors' research implication, pp. 316-317.",reports_and_motivates,"Primary orchestrator; verified against publisher PDF",verified
MCKP-LP-01,"A single fixed MCKP LP has classical fast, including linear-time, algorithms; v4 does not claim to improve one-LP complexity.","10.1287/opre.28.6.1412; 10.1007/BF02591729","Zemel (1980), publisher abstract and pp. 1412-1423; Dyer (1984), publisher abstract and pp. 57-63.",proves_and_reports,"Independent Codex source-locator reviewer; primary orchestrator",verified
EXT-DATA-01,"The external panel uses a published robust-knapsack archive whose original uncertainty is in the objective.",10.5281/zenodo.7419028,"Zenodo record description and RobustKnapsack.zip file listing; current resolving version record 10.5281/zenodo.7940637.",reports,"Independent Codex source-locator reviewer; primary orchestrator",verified
UCI-DATA-01,"Online Retail has 541909 transaction records and supplies the calibration source.",10.24432/C5BW33,"Official UCI dataset 352 record: dataset description, number of instances, file listing, variables, and citation block.",reports,"Independent Codex source-locator reviewer; primary orchestrator",verified
NOVELTY-NEG-01,"No located source derives the v4 baseline cancellation, two-envelope evaluator, certified simultaneous multiplier evaluation, or exact-minimax dominance mapping.","multi-source search synthesis","Positive locators above plus the dated search protocol in LITERATURE_NOVELTY_AUDIT_V4.md; no single source can prove absence.",supports_boundary,"Independent Codex source-locator reviewer; primary orchestrator",partial
ROBUST-FORM-01,"Adjacent literature studies strong or compact formulations, inequalities, submodularity, and relaxation comparisons for robust binary or knapsack models.","10.1007/s10107-006-0709-5; 10.1007/s12532-012-0039-y; 10.1287/ijoo.2019.0042; 10.1007/s10479-022-05161-w; 10.1016/j.cor.2013.05.005","Atamturk (2006), Sections 2-4, journal pp. 238-247; Fischetti and Monaci (2012), Sections 2-4, journal pp. 241-251; Joung and Park (2021), Sections 2-4, journal pp. 185-194; Joung, Oh, and Lee (2023), Sections 2-3, journal pp. 67-74; Monaci, Pferschy, and Serafini (2013), Sections 2-4, journal pp. 2626-2629.",reports_and_motivates,"Primary-source locator audit; primary orchestrator",verified
RMMKP-SCOPE-01,"Caserta and Voss study robust multiple-choice multidimensional knapsack under covariance or ellipsoidal uncertainty, a different model and computational target.",10.1016/j.omega.2018.06.014,"Publisher abstract and article Sections 2-4, journal pp. 16-27.",reports,"Primary orchestrator",verified
PAPER-A-LINEAGE-01,"Companion Paper A establishes the robust finite-menu pricing model, exact full-breakpoint MCKP decomposition, fixed-threshold hull and one-item rounding certificate, and exact full-family search; it does not contain Paper B's simultaneous group-envelope or interval-minimax results.",arXiv:2603.18653,"Frozen submitted Paper A source at local commit 5cf4d20eeec3341df01ef802fe3c6bb68f02d48b, main.tex lines 151-174 and 1083-1113; public code-only software release v1.0.1 at commit 85f87d529fa419bda03249783aa601847bc36ad5.",supports_boundary,"Primary orchestrator; cross-repository source audit",verified
